Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.201,2.3003323845704196,1.02910138080955,2.55313407588272,131.79933711314965,58.96316581147254,146.28380707911353,-13.645,-60.43,10.3,-16.309,113.698,20.1
0.201,2.3004419257011546,1.0290167303205235,2.553252636235959,131.80561335762386,58.95831569571761,146.2906000869717,-13.645,-60.436,10.3,-16.309,113.698,20.1
0.203,2.3002276648152997,1.02910138080955,2.55313407588272,131.79333711314965,58.96316581147254,146.28380707911353,-13.645,-60.43,10.3,-16.315,113.698,20.1
0.206,2.2995330937859744,1.029637344898037,2.5523823880313166,131.75354112459723,58.993874291713425,146.24073853771685,-13.645,-60.392,10.3,-16.315,113.698,20.1
0.209,2.29942329655896,1.0297219461943046,2.5522635731350465,131.7472502068871,58.99872158893089,146.2339309456173,-13.645,-60.386,10.3,-16.315,113.698,20.1
0.211,2.2995226133959896,1.0295632817010243,2.552471976977568,131.75294064248345,58.98963078310735,146.24587160622806,-13.645,-60.392,10.3,-16.32,113.703,20.1
0.213,2.2995226133959896,1.0295632817010243,2.552471976977568,131.75294064248345,58.98963078310735,146.24587160622806,-13.645,-60.392,10.3,-16.32,113.703,20.1
0.213,2.29885773543399,1.0302321189523225,2.5517208829535596,131.71484594136962,59.02795233478787,146.2028370886349,-13.64,-60.348,10.3,-16.32,113.703,20.1
0.212,2.2990268541012995,1.0302903634744207,2.5518658909563934,131.72453572724334,59.03128950008385,146.2111454351929,-13.634,-60.348,10.3,-16.32,113.703,20.1
0.211,2.299259449693209,1.0302683985917915,2.55208589501842,131.7378624729931,59.0300310050117,146.22375073942277,-13.629,-60.353,10.3,-16.32,113.703,20.1
0.209,2.2993320203807843,1.0302648405681678,2.5520764899923143,131.74202046710752,59.02982714527465,146.2232118711207,-13.629,-60.348,10.3,-16.315,113.708,20.1
0.208,2.298785825306294,1.0308728342055362,2.551447721235685,131.7107257945484,59.06466261466667,146.18718607507614,-13.623,-60.309,10.3,-16.315,113.708,20.1
0.206,2.298835066768172,1.030991863208361,2.5514694091413945,131.71354712249106,59.071482474168185,146.18842870053976,-13.618,-60.304,10.3,-16.315,113.708,20.1
0.205,2.298926880103076,1.0309213919866536,2.551568712468065,131.71880763908408,59.067444770587215,146.1941183620496,-13.618,-60.309,10.3,-16.315,113.708,20.1
0.203,2.2990193790938953,1.0308325493051234,2.551676551553527,131.72410744086724,59.06235445989491,146.2002970865131,-13.618,-60.309,10.3,-16.315,113.714,20.1
0.2,2.298321201056875,1.0313680516802166,2.550921454406836,131.68410478599728,59.093036485906985,146.15703320688536,-13.618,-60.271,10.3,-16.315,113.714,20.1
0.198,2.298233934594276,1.0313680516802166,2.550921454406836,131.67910478599728,59.093036485906985,146.15703320688536,-13.618,-60.271,10.3,-16.32,113.714,20.1
0.198,2.2983258807659315,1.03129760632501,2.551020889453457,131.68437291357554,59.08900026436735,146.16273041539242,-13.618,-60.276,10.3,-16.32,113.714,20.1
0.198,2.2978188277320757,1.031261109747636,2.5506551500217465,131.6553209147463,59.086909164517145,146.1417750895539,-13.629,-60.271,10.3,-16.326,113.714,20.1
0.199,2.2968907476392477,1.0317475413778565,2.5497773644168946,131.60214584237715,59.11477964395045,146.09148167907856,-13.634,-60.233,10.3,-16.331,113.714,20.1
0.202,2.296786332124859,1.031544786990875,2.549821986682474,131.596163274087,59.10316267329864,146.09403834656857,-13.64,-60.238,10.3,-16.337,113.719,20.1
0.205,2.296586637059153,1.0313532241088708,2.549675344361422,131.58472158963244,59.09218692864844,146.0856363604743,-13.651,-60.244,10.3,-16.337,113.719,20.1
0.208,2.2963583933198555,1.0313045291296272,2.5495543883443776,131.57164418667043,59.08939691185431,146.07870609119092,-13.656,-60.244,10.3,-16.342,113.719,20.1
0.21,2.2953349677658568,1.0316615842338575,2.5486300492463436,131.51300622178044,59.1098546623803,146.02574536203466,-13.667,-60.211,10.3,-16.348,113.719,20.1
0.212,2.295194017062787,1.0316128135840201,2.548509093711159,131.50493034137517,59.10706030998051,146.01881512035982,-13.672,-60.211,10.3,-16.348,113.719,20.1
0.214,2.2950396030503746,1.0315578526308693,2.5483733750222117,131.49608307016624,59.10391127932696,146.01103901228208,-13.678,-60.216,10.3,-16.348,113.714,20.1
0.215,2.2951172083827247,1.0314839707876589,2.548463815590252,131.50052952817762,59.09967816152835,146.01622087512757,-13.678,-60.216,10.3,-16.348,113.719,20.1
0.214,2.294612282754658,1.031947905931788,2.5478044352988487,131.4715994207214,59.126259687254745,145.97844116733606,-13.678,-60.183,10.3,-16.342,113.719,20.1
0.213,2.29453452031362,1.0320217594441439,2.5477138367809613,131.46714396104528,59.13049118181495,145.97325025463095,-13.678,-60.183,10.3,-16.342,113.714,20.1
0.211,2.2946454730311148,1.0319374281098201,2.5478338318880116,131.47350108348323,59.125659352277495,145.98012546782718,-13.678,-60.189,10.3,-16.342,113.714,20.1
0.21,2.2947232068807324,1.0318635694406604,2.547924401661451,131.47795490499163,59.12142756225419,145.98531473359668,-13.678,-60.189,10.3,-16.342,113.719,20.1
0.21,2.294112686312899,1.0323273355663258,2.5472641513976964,131.44297465314887,59.147999403935955,145.94748518006116,-13.678,-60.156,10.3,-16.342,113.719,20.1
0.21,2.2940347950661506,1.0324011658414447,2.5471734233849856,131.43851181344917,59.152229567100555,145.94228684784923,-13.678,-60.156,10.3,-16.342,113.714,20.1
0.21,2.2938938085767613,1.032352289829939,2.5470523836427446,131.4304338826388,59.149429177921846,145.93535178146547,-13.683,-60.156,10.3,-16.342,113.714,20.1
0.21,2.2940642875898085,1.0322082190548891,2.547243241993585,131.44020161058194,59.141174530560306,145.94628715945345,-13.683,-60.161,10.3,-16.342,113.719,20.1
0.209,2.2933600699023255,1.0327419773705806,2.546481735549512,131.3998529092307,59.17175662932944,145.90265605413603,-13.683,-60.123,10.3,-16.342,113.719,20.1
0.208,2.2933600699023255,1.0327419773705806,2.546481735549512,131.3998529092307,59.17175662932944,145.90265605413603,-13.683,-60.123,10.3,-16.342,113.719,20.1
0.207,2.293190871496853,1.0326832651126607,2.546336446174322,131.3901585546968,59.16839266474495,145.89433158612957,-13.689,-60.123,10.3,-16.342,113.719,20.1
0.206,2.293190871496853,1.0326832651126607,2.546336446174322,131.3901585546968,59.16839266474495,145.89433158612957,-13.689,-60.123,10.3,-16.342,113.719,20.1
0.206,2.2924370840206043,1.0330975269089482,2.545552779985644,131.34696971365793,59.192128117285726,145.8494308209712,-13.694,-60.09,10.3,-16.342,113.719,20.1
0.207,2.2923551577827843,1.0330387341229743,2.545407464692379,131.34227568599945,59.18875953878361,145.84110486796843,-13.7,-60.09,10.3,-16.337,113.719,20.1
0.208,2.292214189348455,1.0329897305166122,2.5452863943928645,131.33419878966782,59.18595183895814,145.83416805078187,-13.705,-60.09,10.3,-16.337,113.719,20.1
0.209,2.292138945370565,1.0328424340215454,2.5452504674505803,131.32988762730093,59.177512371453744,145.83210958861815,-13.711,-60.09,10.3,-16.337,113.725,20.1
0.21,2.291384136142852,1.0332562326186365,2.5444656474849263,131.28664024421545,59.2012212846355,145.7871427169086,-13.716,-60.057,10.3,-16.337,113.725,20.1
0.211,2.291120922880695,1.033285774495328,2.544210835875755,131.27155923518197,59.20291390948882,145.77254308713214,-13.722,-60.057,10.3,-16.337,113.719,20.1
0.212,2.291120922880695,1.033285774495328,2.544210835875755,131.27155923518197,59.20291390948882,145.77254308713214,-13.722,-60.057,10.3,-16.337,113.719,20.1
0.212,2.291074121514107,1.0331482635888096,2.544199362536482,131.26887771440104,59.19503511490829,145.77188571321489,-13.727,-60.057,10.3,-16.337,113.725,20.1
0.212,2.2901779769206434,1.0336358527336853,2.5432679812768657,131.21753241136213,59.22297191504606,145.71852149792127,-13.733,-60.018,10.3,-16.337,113.725,20.1
0.213,2.2900836286253425,1.0337242233412316,2.543158170240717,131.21212665223712,59.22803517789147,145.71222978900602,-13.733,-60.018,10.3,-16.337,113.719,20.1
0.214,2.2900836286253425,1.0337242233412316,2.543158170240717,131.21212665223712,59.22803517789147,145.71222978900602,-13.733,-60.018,10.3,-16.337,113.719,20.1
0.216,2.2901779769206434,1.0336358527336853,2.5432679812768657,131.21753241136213,59.22297191504606,145.71852149792127,-13.733,-60.018,10.3,-16.337,113.725,20.1
0.216,2.2894680769155364,1.0341680571914318,2.5425005151728035,131.17685813719316,59.253464984312984,145.67454892923917,-13.733,-59.98,10.3,-16.337,113.725,20.1
